uniq_ID,foodcode,SourceCode,FOODNAME_ENGLISH,Energy_kcal,Prot_g,Fat_g,Fe_mg,Zn_mg,Folate_mcg,VitB12_mcg,VitA_IU,VitA_RAE,Phytate,fgmajor,fgminor
1,1000,1077,"MILK, COW (cooked nutrients)",60,3.22,3.25,0.03,0.4,4.25,0.352,102,28,0,DAIRY,MILK
2,1001,1095,"MILK, COW, CONSENSED, SWEETENED (cooked nutrients)",321,7.91,8.7,0.19,0.94,9.35,0.352,267,74,0,DAIRY,MILK
3,1002,1090,"MILK, POWDER  (cooked)",496,26.32,26.71,0.47,3.34,37,3.25,915,257,0,DAIRY,MILK
4,1017,1106,"MILK, GOAT, WHOLE, NOT FORTIFIED (cooked nutrients)",69,3.56,4.14,0.05,0.3,0.85,0.056,198,57,0,DAIRY,MILK
6,1100,1116,"YOGURT, WHOLE COW MILK, SWEETENED",61,3.47,3.25,0.05,0.59,7,0.37,99,27,0,DAIRY,YOGURT
7,1101,1116,"YOGURT, WHOLE COW MILK, SOUL",61,3.47,3.25,0.05,0.59,7,0.37,99,27,0,DAIRY,YOGURT
8,1102,1151,CREAM SKIMMED OFF OF TOP OF MILK AFTER BOILING,35,3.41,0.18,0.04,0.4,4.25,0.304,7,2,0,DAIRY,MILK
9,1103,1116,MILK CURD  (cooked nut),61,3.47,3.25,0.05,0.59,7,0.37,99,27,0,DAIRY,MILK
10,2000,13003,"BEEF, ALL TYPES, RAW (cooked nutrients)",251,18.24,19.24,1.85,3.66,4.2,2.1675,0,0,0,MEAT,BEEF
11,2001,13004,"BEEF, ALL TYPES, COOKED",305,25.94,21.54,2.62,5.85,7,2.44,0,0,0,MEAT,BEEF
12,2002,13341,"BEEF, INTESTINES, RAW (cooked nutrients)",85,12.07,3.69,0.5605,1.42,4.25,1.112,0,0,0,MEAT,BEEF
13,2008,13350,"DRIED BEEF MEAT,RAW  (cooked nuts)",153,31.1,1.94,2.42,4.93,10,1.59,0,0,0,MEAT,BEEF
14,2010,4001,BEEF FAT  (cooked nuts),902,0,100,0,0,0,0,0,0,0,MEAT,BEEF
15,2100,15234,"FISH, CATFISH, WITH BONE, RAW  (cooked nutrients)",135,15.55,7.59,0.5,0.74,9,1.8525,45,13.5,0,MEAT,FISH
16,2101,15235,"FISH, CATFISH, COOKED ",152,18.72,8.02,0.82,1.05,7,2.8,50,15,0,MEAT,FISH
17,2102,15008,"FISH, CARP, FRESH, RAW (cooked nutrients)",127,17.83,5.6,1.24,1.48,13.5,1.377,27,8.1,0,MEAT,FISH
18,2103,15009,"FISH, CARP, COOKED",162,22.86,7.17,1.59,1.9,17,1.47,32,10,0,MEAT,FISH
19,2104,368,"FISH, DRIED, SALTED, RAW (general, mostly freshwater) (ckd nut)",306,66.4,2.5,1.4,1.7,35,3.05,0,0,0,MEAT,FISH
20,2105, ,"FISH, DRIED, SALTED, COOKED",153,33.2,1.25,0.7,0.855,17.5,1.525,0,0,0,MEAT,FISH
21,2109,15061,"FISH, PERCH, COOKED",117,24.86,1.18,1.16,1.43,6,2.2,32,10,0,MEAT,FISH
22,2110,15057,"FISH, POMFRET, BLACK, RAW (cooked nutrients)",94,18.62,1.63,0.92,0.48,9,0.9,40,12,0,MEAT,FISH
23,2111,15058,"FISH, POMFRET, BLACK, COOKED",121,23.88,2.09,1.18,0.61,10,1.15,46,14,0,MEAT,FISH
24,2112,15261,"FISH, TILAPIA, FRESH (cooked nutrients)",96,20.08,1.7,0.56,0.33,21.6,1.422,0,0,0,MEAT,FISH
25,2113,15262,"FISH, TILAPIA, COOKED",128,26.15,2.65,0.69,0.41,6,1.86,0,0,0,MEAT,FISH
26,2114,15149,"FISH, SHRIMP, FRESH, RAW (cooked nutrients)",106,20.31,1.73,2.41,1.11,2.25,0.986,171,51.3,0,MEAT,FISH
27,2115,15151,"FISH, SHRIMP, FRESH, COOKED",99,20.91,1.08,3.09,1.56,4,1.49,225,68,0,MEAT,FISH
28,2116,15234,"FISH, FRESHWATER, SMALL, RAW  (cooked nutrients)",135,15.55,7.59,0.5,0.74,9,1.8525,45,13.5,0,MEAT,FISH
29,2117,15235,"FISH, FRESHWATER, SMALL, COOKED",152,18.72,8.02,0.82,1.05,7,2.8,50,15,0,MEAT,FISH
30,2120,15234,"FISH, FRESHWATER, RAW  (cooked nutrients)",135,15.55,7.59,0.5,0.74,9,1.8525,45,13.5,0,MEAT,FISH
31,2121,15235,"FISH, FRESHWATER, COOKED",152,18.72,8.02,0.82,1.05,7,2.8,50,15,0,MEAT,FISH
32,2122,15008,"FISH, FRESHWATER, RAW  small  (cooked nutrients)",127,17.83,5.6,3,3.1,13.5,1.377,180,54,0,MEAT,FISH
33,2123,15009,"FISH, FRESHWATER, COOKED",162,22.86,7.17,3.84,3.968,17,1.47,214.2,64.26,0,MEAT,FISH
34,2126,15094,"FISH, HILSA,RAW FRESHWATER  (cooked nutrients)  (use 2959 ckd)",197,16.93,13.77,0.97,0.37,13.5,0.1125,99,29.7,0,MEAT,FISH
35,2127,15234,"FISH, PANGASH CATFISH,RAW (cooked nutrients) (use 2954 ckd)",135,15.55,7.59,0.5,0.74,9,1.8525,45,13.5,0,MEAT,FISH
36,2128,15060,"FISH, FRESHWATER, RAW (cooked nutrients) (use 2950 ckd)",91,19.39,0.92,1.8,1.5,4.5,1.71,466,140,0,MEAT,FISH
37,2129,15008,"FISH, CARP,RAW (cooked nutrients) (use 2949 ckd)",127,17.83,5.6,1.24,1.48,13.5,1.377,27,8.1,0,MEAT,FISH
38,2130,15008,"FISH, FRESHWATER, RAW  (cooked nutrients) (use 2955 ckd)",127,17.83,5.6,1.24,1.48,13.5,1.377,27,8.1,0,MEAT,FISH
39,2133,15008,"FISH, SILVER CARP, RAW (cooked nutrients) (use 2952 ckd)",127,17.83,5.6,4.4,1.48,13.5,1.377,27,8.1,0,MEAT,FISH
40,2135,15008,"FISH, FRESHWATER, RAW  (cooked nutrients)  (use 2960 ckd)",127,17.83,5.6,1.24,1.48,13.5,1.377,27,8.1,0,MEAT,FISH
41,2136,15025,"FISH, FRESHWATER, RAW (cooked nutrients) (use 2953 ckd)",184,18.44,11.66,2.4,1.2,13.5,2.25,3129.3,938.7,0,MEAT,FISH
42,2138,15008,"FISH, FRESHWATER, RAW  (cooked nutrients)",127,17.83,5.6,1.24,1.48,13.5,1.377,27,8.1,0,MEAT,FISH
43,2139,15009,"FISH, FRESHWATER, COOKED",162,22.86,7.17,1.59,1.9,17,1.47,32,10,0,MEAT,FISH
44,2141,CV76,"FISH, FRESHWATER, DRY small",335,58.6,9.4,2.5,5.2,28,12,0,0,0,MEAT,FISH
45,2143,15235,"FISH, FRESHWATER, COOKED",152,18.72,8.02,0.82,1.05,7,2.8,50,15,0,MEAT,FISH
46,2144,15008,"FISH, FRESHWATER,RAW  (cooked nutrients)",127,17.83,5.6,1.24,1.48,13.5,1.377,27,8.1,0,MEAT,FISH
47,2145,15009,"FISH, FRESHWATER,COOKED (use for silver carp)",162,22.86,7.17,1.59,1.9,17,1.47,32,10,0,MEAT,FISH
48,2146,15234,"FISH, FRESHWATER, RAW (small)  (cooked nutrients) (2956 ckd)",135,15.55,7.59,0.5,0.74,9,1.8525,45,13.5,0,MEAT,FISH
49,2147,15008,"FISH, FRESHWATER, RAW (cooked nutrients) (use 2951 ckd)",127,17.83,5.6,2.5,1.48,13.5,1.377,45,13.5,0,MEAT,FISH
50,2149,15008,"FISH, FRESHWATER, RAW small (cooked nutrients) (use 2958 ckd)",127,17.83,5.6,5.7,3.2,13.5,1.377,7959.6,2412,0,MEAT,FISH
51,2152,15008,"FISH, FRESHWATER, RAW  (cooked nutrients)",127,17.83,5.6,1.24,1.48,13.5,1.377,27,8.1,0,MEAT,FISH
52,2153,15009,"FISH, FRESHWATER, COOKED",162,22.86,7.17,1.59,1.9,17,1.47,32,10,0,MEAT,FISH
53,2154,15094,"FISH, FRESHWATER, RAW  (cooked nutrients)",197,16.93,13.77,0.97,0.37,13.5,0.1125,99,29.7,0,MEAT,FISH
54,2155,15215,"FISH, FRESHWATER, COOKED",252,21.71,17.65,1.24,0.47,17,0.14,120,36,0,MEAT,FISH
55,2156,CV76,"FISH, FRESHWATER, DRIED, RAW  small  (cooked nut)",335,58.6,9.4,2.5,5.2,28,12,0,0,0,MEAT,FISH
56,2157, ,"FISH, FRESHWATER, DRIED, COOKED small",167.5,29.3,4.7,1.25,2.605,14,6,0,0,0,MEAT,FISH
57,2158,CV76,"FISH, OCEAN, RAW dried",335,58.6,9.4,2.5,5.2,28,12,0,0,0,MEAT,FISH
58,2159,CV76,"FISH, OCEAN, COOKED",167.5,29.3,4.7,1.25,2.605,14,6,0,0,0,MEAT,FISH
59,2160,15234,"FISH, FRESHWATER, RAW  (cooked nutrients)",135,15.55,7.59,0.5,0.74,9,1.8525,45,13.5,0,MEAT,FISH
60,2161,15235,"FISH, FRESHWATER, COOKED",152,18.72,8.02,0.82,1.05,7,2.8,50,15,0,MEAT,FISH
61,2162,794,"SHRIMP, DRIED, FRESHWATER, RAW (cooked nut)",306,66.4,2.5,1.4,1.7,35,3.05,0,0,0,MEAT,FISH
62,2164,CV76,"FISH, FRESHWATER, DRIED, RAW  (cooked nut) (use 2963 ckd)",335,58.6,9.4,2.5,5.2,28,12,0,0,0,MEAT,FISH
63,2165,15234,"FISH, FRESHWATER, RAW  (cooked nutrients)",135,15.55,7.59,0.5,0.74,9,1.8525,45,13.5,0,MEAT,FISH
64,2170,15235,"FISH, FRESHWATER, COOKED",152,18.72,8.02,0.82,1.05,7,2.8,50,15,0,MEAT,FISH
65,2171,CV76,"FISH, DRIED UNKNOWN FRESH OR OCEAN (cooked nut)",335,58.6,9.4,2.5,5.2,28,12,0,0,0,MEAT,FISH
66,2174,CV76,"FISH, FRESHWATER, DRIED, RAW (cooked nut)",335,58.6,9.4,2.5,5.2,28,12,0,0,0,MEAT,FISH
67,2200,5006,"CHICKEN, ALL TYPES, WITH SKIN, RAW (cooked nutrients)",215,18.6,15.06,0.9,1.31,4.2,0.2015,112,33.6,0,MEAT,CHICKEN
68,2201,5010,"CHICKEN, ALL TYPES, WITH SKIN, COOKED",219,24.68,12.56,1.16,1.76,5,0.2,146,44,0,MEAT,CHICKEN
69,2202,5011,"CHICKEN, ALL TYPES, NO SKIN, RAW",119,21.39,3.08,0.89,1.54,7,0.37,52,16,0,MEAT,CHICKEN
70,2203,5014,"CHICKEN, ALL TYPES, NO SKIN, COOKED",177,27.29,6.71,1.17,1.99,6,0.22,50,15,0,MEAT,CHICKEN
71,2208,5100,"CHICKEN, WING, WITH SKIN, RAW (cooked nutrients)",222,18.33,15.97,0.95,1.33,2.8,0.208,117.6,35.2,0,MEAT,CHICKEN
72,2216,5080,"CHICKEN, LEG, NO SKIN, RAW (cooked nutrients)",120,20.13,3.81,1.02,2.06,7,0.234,48.8,14.4,0,MEAT,CHICKEN
73,2217,5015,"CHICKEN, ONLY SKIN, RAW (cooked nutrients)",349,13.33,32.35,1.08,0.93,2.1,0.1495,209.6,60.8,0,MEAT,CHICKEN
74,2218,5019,"CHICKEN, ONLY SKIN ,COOKED",363,15.22,33.04,1.13,0.96,2,0.11,198,59,0,MEAT,CHICKEN
75,2220,5028,"CHICKEN, LIVER, COOKED",167,24.46,6.51,11.63,3.98,578,16.85,13328,3978,0,MEAT,CHICKEN
76,2224,1302,"CHICKEN, ANUS, COOKED",94,14.1,3.8,1,2.3,4,1.05,0,0,0,MEAT,CHICKEN
77,2300,17168,"GOAT, MEAT, RAW (cooked nutrients)",109,20.6,2.31,2.83,4,3.5,0.8475,0,0,0,MEAT,GOAT
78,2301,17169,"GOAT, MEAT, COOKED",143,27.1,3.03,3.73,5.27,5,1.19,0,0,0,MEAT,GOAT
79,2302,0,"GOAT, BONE, LEG PART, RAW  (cooked nut)",36,6.3,1.05,9.85,0.7,1,1.255,0,0,0,MEAT,GOAT
80,2304,17168,"GOAT MEAT, DRIED, RAW (cooked nutrients)",109,20.6,2.31,2.83,4,3.5,0.8475,0,0,0,MEAT,GOAT
81,2305,17169,"GOAT MEAT, DRIED, COOKED",143,27.1,3.03,3.73,5.27,5,1.19,0,0,0,MEAT,GOAT
82,2400,1123,"EGG, CHICKEN, WHOLE, RAW (cooked nutrients)",143,12.58,9.94,1.83,1.11,35.25,1.0965,487,140,0,MEAT,EGG
83,2401,1129,"EGG, CHICKEN, WHOLE, COOKED",155,12.58,10.61,1.19,1.05,44,1.11,586,169,0,MEAT,EGG
84,2403,31109010,"EGG, CHICKEN, WHITE ONLY, COOKED",48,10.86,0.17,0.08,0.03,3,0.08,0,0,0,MEAT,EGG
85,2404,1125,"EGG, CHICKEN, YOLK ONLY, RAW  (cooked nutrients)",317,15.82,26.54,2.73,2.3,109.5,1.6575,1442,381,0,MEAT,EGG
86,2406,1138,"EGG, DUCK, RAW",185,12.81,13.77,3.85,1.41,80,5.4,674,194,0,MEAT,EGG
87,2407,31201000,"EGG, DUCK, COOKED",184,12.76,13.72,3.84,1.4,60,4.57,674,193,0,MEAT,EGG
88,2409,31109010,"EGG, DUCK, WHITE ONLY, COOKED",48,10.86,0.17,0.08,0.03,3,0.08,0,0,0,MEAT,EGG
89,2411,31111010,"EGG, DUCK, YOLK ONLY, COOKED",316,15.8,26.43,2.72,2.29,109,1.65,1442,379,0,MEAT,EGG
90,2414,35158,"EGG, FISH  (cooked nutrients)",104,14.66,2.88,5.95,2.1,39.75,47.94,305,91,0,MEAT,EGG
91,2415,1128,CHICKEN EGG FRY,196,13.63,15.31,1.98,1.2,51,1.39,729,198,0,MEAT,EGG
92,2416,35158,"EGG, CARP FISH  (cooked nutrients)",104,14.66,2.88,5.95,2.1,39.75,47.94,305,91,0,MEAT,EGG
93,2501,5140,"DUCK, ALL TYPES, WITH SKIN, COOKED",337,18.99,28.35,2.7,1.86,6,0.3,210,63,0,MEAT,DUCK
94,2907,CV76,"FISH, DRIED, RAW (UNKNOWN IF OCEAN OR FRESHWATER) (cooked nut)",335,58.6,9.4,2.5,5.2,28,12,0,0,0,MEAT,FISH
95,2911,CV76,"FISH, DRIED, FRESHWATER,COOKED ",167.5,29.3,4.7,1.25,2.605,14,6,0,0,0,MEAT,FISH
96,2919,CV76,"FISH, DRIED BOAL, FRESHWATER, RAW (cooked nut)",335,58.6,9.4,2.5,5.2,28,12,0,0,0,MEAT,FISH
97,2926,CV76,"FISH, DRIED MOLA , FRESHWATER, RAW (cooked nuts)",335,58.6,9.4,2.5,5.2,28,12,0,0,0,MEAT,FISH
98,2934,CV76,"FISH, DRIED MOA, FRESHWATER,  RAW (cooked nut)",335,58.6,9.4,2.5,5.2,28,12,0,0,0,MEAT,FISH
99,2938,15234,"FISH, MOA, RAW, FRESHWATER (cooked nutrients)",135,15.55,7.59,0.5,0.74,9,1.8525,45,13.5,0,MEAT,FISH
100,2949,15009,"FISH, CARP, COOKED (2129 raw)",162,22.86,7.17,1.59,1.9,17,1.47,32,10,0,MEAT,FISH
101,2950,15061,"FISH, FRESHWATER, COOKED (2128 raw)",117,24.86,1.18,1.16,1.43,6,2.2,32,10,0,MEAT,FISH
102,2951,15009,"FISH, FRESHWATER, COOKED (2147 raw)",162,22.86,7.17,1.59,1.9,17,1.47,32,10,0,MEAT,FISH
103,2952,15009,"FISH, SILVER CARP, COOKED (2133 raw)",162,22.86,7.17,1.59,1.9,17,1.47,32,10,0,MEAT,FISH
104,2953,15026,"FISH, FRESHWATER, COOKED (2136 raw)",236,23.65,14.95,0.64,2.08,17,2.89,3787,1137,0,MEAT,FISH
105,2954,15235,"FISH, PANGASH CATFISH, COOKED (2127 raw)",152,18.72,8.02,0.82,1.05,7,2.8,50,15,0,MEAT,FISH
106,2955,15009,"FISH, FRESHWATER, COOKED  (2130 raw)",162,22.86,7.17,1.59,1.9,17,1.47,32,10,0,MEAT,FISH
107,2957,15262,"FISH, FRESHWATER, COOKED  (2148 raw)",128,26.15,2.65,0.69,0.41,6,1.86,0,0,0,MEAT,FISH
108,2959,15215,"FISH, HILSA, COOKED FRESHWATER  (2126 raw)",252,21.71,17.65,1.24,0.47,17,0.14,120,36,0,MEAT,FISH
109,2961,15197,"FISH, FRESHWATER, COOKED  (2137 raw)",250,21.01,17.79,1.44,0.68,6,9.62,116,35,0,MEAT,FISH
110,2963,CV76,"FISH, FRESHWATER, DRIED, COOKED (2164 raw)",335,58.6,9.4,2.5,5.2,28,12,0,0,0,MEAT,FISH
111,2965,15235,"FISH, FRESHWATER, COOKED (2131 raw)",152,18.72,8.02,0.82,1.05,7,2.8,50,15,0,MEAT,FISH
112,3000,20446,"RICE, WHITE, PARBOILED, RAW (cooked nutrients)",374,8.11,1.04,1.45161774,0.7993396,4.8,0,0,0,121,STARCH,RICE
113,3001,20444,"RICE, WHITE, SUNNED, NOT PARBOILED, RAW (cooked nutrients)",365,7.13,0.66,1.45161774,0.7993396,4.8,0,0,0,121,STARCH,RICE
114,3002,20446,"RICE, KRISPY ",374,8.11,1.04,1.45161774,0.7993396,7.6,0,0,0,121,STARCH,RICE
115,3003,20444,"RICE, WHITE, SUNNED, NOT PARBOILED, RAW POWDER (cooked nutrients)",365,7.13,0.66,1.45161774,0.7993396,4.8,0,0,0,121,STARCH,RICE
116,3004,20446,"RICE, WHITE, PARBOILED, RAW POWDER (cooked nutrients)",374,8.11,1.04,1.45161774,0.7993396,4.8,0,0,0,121,STARCH,RICE
117,3006,20446,RICE SEMOLINA (RICE STARCH GRANULES),374,8.11,1.04,1.45161774,0.7993396,0,0,0,0,121,STARCH,RICE
118,3010,20446,"RICE, BAKED (RAW HEATED IN PAN)",374,8.11,1.04,1.45161774,0.7993396,7.6,0,0,0,121,STARCH,RICE
119,3100,20466,WHEAT SEMOLINA (WHEAT STARCH GRANULES) (cooked nutrients),360,12.68,1.05,0.9801562,0.6988878,50.4,0,0,0,282,STARCH,WHEAT
120,3101,20080,WHEAT FLOUR WHOLE  (cooked nutrients),339,13.7,1.87,3.6301562,2.5788878,30.8,0,8.1,0,848,STARCH,WHEAT
121,3102,20481,WHEAT FLOUR REFINED (cooked nutrients),364,10.33,0.98,0.9201562,0.3488878,18.2,0,0,0,282,STARCH,WHEAT
122,3103,20004,BARLEY  (cooked nutrients),354,12.48,2.3,3.42,2.77,13.3,0,19.8,0.9,875,STARCH,WHEAT
123,3105,42259,POPCORN (POPPED IN OIL) WITH SALT,521,9,28.1,2.78,2.64,17,0,154,8,384,STARCH,CORN
124,3107,20020,"MAIZE POWDER, RAW (cooked nutrients)",362,8.12,3.59,3.45,1.82,17.5,0,214,11,800,STARCH,CORN
125,3108,20020,"MAIZE BAKED (CORN IS HEATED IN PAN OVER FIRE FOR <1O MIN), WITHOUT SALT",362,8.12,3.59,3.45,1.82,17.5,0,214,11,800,STARCH,CORN
126,3200,18413,"BREAD, WHITE",275,9.1,1.2,1.4,0.84,24,0,0,0,111,STARCH,BREAD
127,3300,6583,"NOODLE, MAGGI DRIED, RAW (cooked nut)",453,9.3,17.1,4.27,0.63,28,0.01,11,1,87,STARCH,NOODLE
128,3304,20420,"VERMICELLI, LOOSE (cooked nutrients)",371,13.04,1.51,0.975,1.41,12.6,0,0,0,227,STARCH,NOODLE
129,3305,20420,"VERMICELLI, PACKEGED (cooked nutrients)",371,13.04,1.51,0.975,1.41,12.6,0,0,0,227,STARCH,NOODLE
130,3306,20420,"RED VERMICELLI, LOOSE  (cooked nutrients)",371,13.04,1.51,0.975,1.41,12.6,0,0,0,227,STARCH,NOODLE
131,3308,20420,"SWEET NOODLES (FLOUR,SUGAR,OIL) COMMERCIALLY PRODUCED",371,13.04,1.51,1.3,1.41,18,0,0,0,227,STARCH,NOODLE
132,3310,20421,"RED VERMICELLI, COOKED",158,5.8,0.93,1.28,0.51,7,0,0,0,147,STARCH,NOODLE
133,3400,18173,"BISCUITS, SWEET (COOKIE)",423,6.9,10.1,1.2,0.81,17,0,2,0,116,STARCH,BISCUIT
134,3412,18228,SALTED BISCUIT (LIKE A SALTED CRACKER),428,9.22,11.35,1.2,0.83,31,0,0,0,180,STARCH,BISCUIT
135,3413,18210,CREAMY BISCUIT (LIKE AN OREO - USUALLY VANILLA CREAM),483,4.5,20,2.21,0.4,4,0,0,0,68,STARCH,BISCUIT
136,3414,18418,CAKE (LIKE POUND CAKE WITH LESS BUTTER OR PAN DOLCE),389,5.2,17.9,0.6,0.39,9,0.14,118,35,25,STARCH,CAKE
137,3415,18426,BISCUIT (NO SUGAR OR SALT),434,9.2,11.8,1.2,0.77,31,0,0,0,180,STARCH,BISCUIT
138,3416,18173,SPICY BISCUIT (COOKIE WITH GREEN CHILI),423,6.9,10.1,1.2,0.81,17,0,2,0,116,STARCH,BISCUIT
139,4000,16069,"LENTIL, MUSUR (BROWN), DRY (cooked nutrients)",353,25.8,1.06,5.91,3.55,239.5,0,35.1,1.8,212,LEGUME,DAL
140,4000,16069,"LENTIL, MUSUR (BROWN), DRY",353,25.8,1.06,5.91,3.55,479,0,39,2,244,LEGUME,DAL
141,4001,16085,"PEA, DRY (cooked nutrients)",341,24.55,1.16,3.7655,2.709,137,0,134.1,6.3,1629,LEGUME,DAL
142,4002,16056,"CHICKPEA, DRY",364,19.3,6.04,6.24,3.43,557,0,67,3,645,LEGUME,DAL
143,4003,16050,"COWPEA SEED, DRY (cooked nutrients)",343,23.85,2.07,8.4575,5.499,319.5,0,29.7,1.8,945,LEGUME,OBEAN
144,4004,16080,"BEAN, MUNG, DRY (cooked nutrients)",347,23.86,1.15,5.729,2.412,312.5,0,102.6,5.4,945,LEGUME,DAL
145,4005,11052,"BEAN, FIELD, FRESH (cooked nutrients)  (ckd use 4033)",31,1.82,0.12,0.988,0.228,24.05,0,621,31.5,91,LEGUME,OBEAN
146,4006,16069,"BEAN, HORSE, DRY  (cooked nutrients)",353,25.8,1.06,5.91,3.55,239.5,0,35.1,1.8,212,LEGUME,DAL
147,4007,12093,"SEED, JACKFRUIT (cooked nutrients)",224,4.2,1.11,1.41,0.87,54.4,0,191.9,9.5,42,LEGUME,OBEAN
148,4008,16069,"DAL, BUT'ER  WITHOUT PEEL(cooked nutrients)",353,25.8,1.06,5.91,3.55,239.5,0,35.1,1.8,212,LEGUME,DAL
149,4009,16087,PEANUT,567,25.8,49.24,4.58,3.27,240,0,0,0,1760,LEGUME,OBEAN
150,4009,16087,PEANUT (cooked nutrients),567,25.8,49.24,4.58,3.27,192,0,0,0,1760,LEGUME,OBEAN
151,4010,2024,"MUSTARD, RAW (cooked nutrients)",469,24.9,28.76,9.98,5.7,60.8,0,49.6,2.4,2129,LEGUME,OBEAN
152,4011,16056,CHICKPEA VARIETY (cooked nutrients),364,19.3,6.04,5.304,3.087,278.5,0,60.3,2.7,645,LEGUME,OBEAN
153,4012,11304,"SEED, FIELD BEAN (cooked nutrients)  (use 4034 ckd)",81,5.42,0.4,1.2495,1.116,32.5,0,688.5,34.2,71,LEGUME,OBEAN
154,4013,16069,"LENTIL, KHESARI (YELLOW), DRY (cooked nutrients)",353,25.8,1.06,5.91,3.55,239.5,0,35.1,1.8,212,LEGUME,DAL
155,4014,16069,"DAL,BUT'ER WITH PEEL (cooked nutrients)",353,25.8,1.06,5.91,3.55,239.5,0,35.1,1.8,212,LEGUME,DAL
156,4015,11304,BEAN SEED VARIETY (cooked nutrients),81,5.42,0.4,1.2495,1.116,32.5,0,688.5,34.2,71,LEGUME,OBEAN
157,4021,12023,SESAME SEED (cooked nutrients),573,17.73,49.67,14.55,7.75,77.6,0,7.2,0,4710,LEGUME,OBEAN
158,4024,16070,BUT'ER DAL WITH PEEL BAKED (NO OIL),116,9.02,0.38,2.61,0.94,181,0,8,0,84,LEGUME,DAL
159,4025,16390,PEANUT BAKED (NO OIL),585,23.68,49.66,2.26,3.31,145,0,0,0,1760,LEGUME,OBEAN
160,4028,12163,PUMPKIN SEEDS,446,18.55,19.4,3.31,10.3,9,0,62,3,3818,LEGUME,OBEAN
