uniq_ID,foodcode,SourceCode,FOODNAME_ENGLISH,Energy_kcal,Prot_g,Fat_g,Fe_mg,Zn_mg,Folate_mcg,VitB12_mcg,VitA_IU,VitA_RAE,Phytate,fgmajor,fgminor
161,4033,0,"BEAN, FIELD, FRESH, BOILED  (raw=4005)",35,1.89,0.28,0.65,0.25,33,0,700,35,91,LEGUME,OBEAN
162,5000,9003,"APPLE, WITH PEEL",52,0.26,0.17,0.12,0.04,3,0,54,3,63,FRUIT,
163,5001,9004,"APPLE, WITHOUT PEEL",48,0.27,0.13,0.07,0.05,0,0,38,2,63,FRUIT,
164,5002,9040,"BANANA, WITHOUT PEEL",89,1.09,0.33,0.26,0.15,20,0,64,3,0,FRUIT,
165,5003,9181,"CANTALOUPE, WITHOUT RIND",34,0.84,0.19,0.21,0.18,21,0,3382,169,0,FRUIT,
166,5004,9132,"GRAPES, GREEN",69,0.72,0.16,0.36,0.07,2,0,66,3,63,FRUIT,
167,5005,9132,"GRAPES, PURPLE",69,0.72,0.16,0.36,0.07,2,0,66,3,63,FRUIT,
168,5006,9139,"GUAVA, RAW",68,2.55,0.95,0.26,0.23,49,0,624,31,0,FRUIT,
169,5007,9144,"JACKFRUIT, WITHOUT PEEL",94,1.47,0.3,0.6,0.42,14,0,297,15,0,FRUIT,
170,5008,9150,"LEMON, WITHOUT PEEL",29,1.1,0.3,0.6,0.06,11,0,22,1,0,FRUIT,
171,5009,9159,"LIME, WITHOUT PEEL",30,0.7,0.2,0.6,0.11,8,0,50,2,0,FRUIT,
172,5010,9176,"MANGO, RIPE, WITHOUT PEEL",65,0.51,0.27,0.13,0.04,14,0,765,38,12,FRUIT,
173,5011,9218,"ORANGE, WITHOUT PEEL",53,0.81,0.31,0.15,0.07,16,0,681,34,0,FRUIT,
174,5012,9226,"PAPAYA, RIPE, WITHOUT PEEL",39,0.61,0.14,0.1,0.07,38,0,1094,55,0,FRUIT,
175,5013,9279,BLACK BERRY (LIKE SMALL PLUM),46,0.7,0.28,0.17,0.1,5,0,345,17,0,FRUIT,
176,5014,11422,PUMPKIN (cooked nutrients),26,1,0.1,0.76,0.304,11.2,0,6645.6,332.1,0,FRUIT,
177,5015,9326,"WATERMELON, WITHOUT RIND",30,0.61,0.15,0.24,0.1,3,0,569,28,0,FRUIT,
178,5016,9164,LYCHEE,66,0.83,0.44,0.31,0.07,14,0,0,0,0,FRUIT,
179,5017,9060,STAR FRUIT,31,1.04,0.33,0.08,0.12,12,0,61,3,0,FRUIT,
180,5018,9077,"HOG PLUM, WITHOUT PEEL",76,0.4,0.3,0.36,0,0,0,40,2,63,FRUIT,
181,5019,9286,"POMEGRANATE, WITHOUT RIND",68,0.95,0.3,0.3,0.12,6,0,108,5,0,FRUIT,
182,5021,9195,"OLIVE, RAW",145,1.03,15.32,0.49,0.04,3,0,393,20,0,FRUIT,
183,5022,9111,GRAPEFRUIT,32,0.63,0.1,0.09,0.07,10,0,927,46,0,FRUIT,
184,5024,9139,WHITE LEAD ,68,2.55,0.95,0.26,0.23,49,0,624,31,0,FRUIT,
185,5025,12104,"COCONUT, RAW, FLESH (cooked nutrients)",354,3.33,33.49,2.43,1.1,20.8,0,0,0,324,FRUIT,
186,5025,12104,"COCONUT, RAW, FLESH",354,3.33,33.49,2.43,1.1,26,0,0,0,324,FRUIT,
187,5026,12119,"COCONUT, GREEN, WATER",19,0.72,0.2,0.29,0.1,3,0,0,0,3,FRUIT,
188,5028,9421,DATE,277,1.81,0.15,0.9,0.44,15,0,149,7,0,FRUIT,
189,5029,9003,WOOD APPLE,52,0.26,0.17,0.12,0.04,3,0,54,3,63,FRUIT,
190,5030,9086,CUSTARD APPLE,101,1.7,0.6,0.71,0.04,3,0,33,2,0,FRUIT,
191,5031,9077,PLUM,76,0.4,0.3,0.36,0.04,3,0,40,2,63,FRUIT,
192,5032,9277,"BANANA, UNRIPE",122,1.3,0.37,0.6,0.14,22,0,1127,56,0,FRUIT,
193,5033,1960,PALM FRUIT,12,0,0.1,0,0,1,0,1,0,13,FRUIT,
194,5034,9200,"ORANGE, WITHOUT PEEL",47,0.94,0.12,0.1,0.07,30,0,225,11,0,FRUIT,
195,5035,9322,"TAMARIND, RAW, RIPE",239,2.8,0.6,2.8,0.1,14,0,30,2,0,FRUIT,
196,5036,VZ(India),"SUGAR CANE, RAW",26,0,0,0.1,0,0,0,0,0,0,FRUIT,
197,5037,1470,"PALM FRUIT SEED, DRIED, SHELLED",203,0.6,20.2,0.2,0.1,9,0,1668,501,8,FRUIT,
198,5038,9144,"JACKFRUIT, UNRIPE",94,1.47,0.3,0.6,0.42,14,0,297,15,0,FRUIT,
199,5039,9299,DRY GRAPES (RAISINS)  (cooked nut),296,2.52,0.54,2.59,0.18,3,0,0,0,0,FRUIT,
200,5040,9040,BANANA VARIETY (LOTS OF SEEDS),89,1.09,0.33,0.26,0.15,20,0,64,3,0,FRUIT,
201,5044,9003,"JAMRUL (WHITE, STRAWBERRY SHAPED, SOUR)",52,0.26,0.17,0.12,0.04,3,0,54,3,63,FRUIT,
202,5045,190220,DATE SEEDS,261,11.9,22.6,2.1,1.5,58,0,0,0,810,FRUIT,
203,5046,11252,PUMPKIN PEEL,14,0.9,0.14,0.41,0.15,29,0,502,25,0,FRUIT,
204,5049,9145,GOLAPJAM (SAME AS 5044),60,0.72,0.23,0.19,0.04,3,0,3,0,63,FRUIT,
205,6100,11052,COWPEA FRESH (LONG GREEN BEAN) (cooked nutrients),31,1.82,0.12,1.04,0.24,37,0,690,35,91,VEG,VEGOTHER
206,6101,11109,"CABBAGE, RAW (cooked nutrients)",25,1.28,0.1,0.4465,0.171,27.95,0,88.2,4.5,0,VEG,VEGOTHER
207,6102,11206,"CUCUMBER, RAW",12,0.59,0.16,0.22,0.17,14,0,72,4,0,VEG,VEGOTHER
208,6103,11209,"EGGPLANT, RAW (cooked nutrients)  (use 6147 ckd)",24,1.01,0.19,0.228,0.152,15.4,0,24.3,0.9,0,VEG,VEGOTHER
209,6104,11643,"GOURD, BOTTLE, RAW  (cooked nutrients)",34,0.95,0.13,0.551,0.1995,15.6,0,1230.3,61.2,0,VEG,VEGOTHER
210,6105,11641,"GOURD, SNAKE, RAW  (cooked nutrients)",16,1.21,0.18,0.3325,0.2755,18.85,0,180,9,0,VEG,VEGOTHER
211,6106,11220,"GOURD, TOWEL, RAW (cooked nutrients)",20,1.2,0.2,0.342,0.0665,4.55,0,369,18.9,0,VEG,VEGOTHER
212,6107,11593,"GOURD, WAX, RAW (cooked nutrients)",13,0.4,0.2,0.38,0.5795,3.25,0,0,0,0,VEG,VEGOTHER
213,6108,11167,"MAIZE, YELLOW, FRESH  (cooked nutrients)",86,3.22,1.18,0.494,0.4275,29.9,0,168.3,8.1,31,VEG,VEGOTHER
214,6109,11278,"OKRA, (LADY'S FINGER), RAW (cooked nutrients)  (use 6150 ckd)",31,2,0.1,0.76,0.57,57.2,0,337.5,17.1,77,VEG,VEGOTHER
215,6110,11670,"PEPPER, RED OR GREEN, HOT, RAW (cooked nutrients) (use 6148 for ckd)",40,2,0.2,1.2,0.3,19.55,0,1061.1,59,30,VEG,VEGOTHER
216,6111,11529,"TOMATO, RAW (cooked nutrients)",18,0.88,0.2,0.27,0.17,10.5,0,791.35,39.9,6,VEG,VEGOTHER
217,6112,11522,"TARO, STALK, RAW (cooked nutrients)",11,0.92,0.09,0.57,0.4845,2.1,0,45,2.7,42,VEG,VEGOTHER
218,6113,11962,"PEPPER, CHILI, RED, DRY, WITHOUT STALK (cooked nutrients) (use 6149 ckd)",324,10.58,5.81,6.04,1.02,48.45,0,26488,1324,403,VEG,VEGOTHER
219,6114,9226,"PAPAYA, GREEN, UNRIPE, WITHOUT PEEL",39,0.61,0.14,0.1,0.07,38,0,1094,55,0,FRUIT,
220,6114,9226,"PAPAYA, GREEN, UNRIPE, WITHOUT PEEL (cooked nutrients)",39,0.61,0.14,0.1,0.07,22.8,0,929.9,46.75,0,FRUIT,
221,6115,11641,"VEGETABLE, GREEN (LIME SIZE, LIKE POTAL)  (cooked nutrients)",16,1.21,0.18,0.3325,0.2755,18.85,0,180,9,0,VEG,VEGOTHER
222,6116,11416,PUMPKIN FLOWER  (cooked nutrients),15,1.03,7.00E-02,0.7,0.2,59,0,1947,97,5,VEG,VEGOTHER
223,6118,11522,ARAM (cooked nutrients),11,0.92,0.09,0.57,0.4845,2.1,0,45,2.7,42,VEG,VEGOTHER
224,6119,11135,CAULI FLOWER (cooked nutrients),25,1.98,0.1,0.418,0.266,37.05,0,11.7,0.9,0,VEG,VEGOTHER
225,6120,11003,"AMARANTHUS, STALK  (cooked nutrients)",23,2.46,0.33,2.204,0.855,51,0,2771.15,138.7,42,VEG,VEGOTHER
226,6122,11643,GOURD (SIMILAR 6131) (cooked nutrients),34,0.95,0.13,0.551,0.1995,15.6,0,1230.3,61.2,0,VEG,VEGOTHER
227,6123,11252,PEEL OF BOTTLE GOURD  (cooked nut),14,0.9,0.14,0.41,0.15,29,0,502,25,0,VEG,VEGOTHER
228,6124,11024,"GOURD, BITTER (cooked nutrients)",17,1,0.17,0.4085,0.76,46.8,0,423.9,21.6,0,VEG,VEGOTHER
229,6125,11206,CUCUMBER VARIETY,12,0.59,0.16,0.22,0.17,14,0,72,4,0,VEG,VEGOTHER
230,6126,11416,GOURD STALK  (cooked nut),15,1.03,7.00E-02,0.7,0.2,59,0,1947,97,5,VEG,VEGOTHER
231,6127,11416,MUSTERD FLOWER  (cooked nut),15,1.03,7.00E-02,0.7,0.2,59,0,1947,97,5,VEG,VEGOTHER
232,6131,11643,"GOURD, SNAKE  (cooked nutrients)",34,0.95,0.13,0.551,0.1995,15.6,0,1230.3,61.2,0,VEG,VEGOTHER
233,6137,11252,PARBLE PEEL (LIKE CUCUMBER PEEL),14,0.9,0.14,0.41,0.15,29,0,502,25,0,VEG,VEGOTHER
234,6147,11210,"EGGPLANT, COOKED",35,0.83,0.23,0.25,0.12,14,0,37,2,0,VEG,VEGOTHER
235,6148,11670,"PEPPER, RED OR GREEN, HOT, COOKED",40,2,0.2,1.2,0.3,19.55,0,1061.1,59,30,VEG,VEGOTHER
236,6200,11620,HORSERADISH  (cooked nut),37,2.1,0.2,0.36,0.45,44,0,74,4,91,VEG,ROOT
237,6201,11282,"ONIONS, PEELED, RAW (cooked nutrients)",40,1.1,0.1,0.1995,0.1615,12.35,0,1.8,0,0,VEG,ROOT
238,6202,11354,"POTATO, WHITE, WITHOUT PEEL, RAW (cooked nutrients) (use 6214 ckd)",69,1.68,0.1,0.494,0.2755,13.5,0,8,0,69,VEG,ROOT
239,6203,11354,"POTATO, WHITE, WITH PEEL, RAW (cooked nutrients)",69,1.68,0.1,0.494,0.2755,16.2,0,8,0,69,VEG,ROOT
240,6204,11601,"POTATO, SWEET, WHITE, WITHOUT PEEL, RAW",118,1.53,0.17,0.54,0.24,23,0,138,7,50,VEG,ROOT
241,6204,11601,"POTATO, SWEET, WHITE, WITHOUT PEEL, RAW (cooked nutrients)",118,1.53,0.17,0.513,0.228,17.25,0,138,7,50,VEG,ROOT
242,6205,11601,"POTATO, SWEET, WHITE, WITH PEEL, RAW",118,1.53,0.17,0.54,0.24,23,0,138,7,50,VEG,ROOT
243,6205,11601,"POTATO, SWEET, WHITE, WITH PEEL, RAW (cooked nutrients)",118,1.53,0.17,0.513,0.228,20.7,0,138,7,50,VEG,ROOT
244,6206,11215,GARLIC (cooked nutrients),149,6.36,0.5,1.7,1.16,2.1,0,7.65,0,0,VEG,ROOT
245,6207,11429,RADISH (cooked nutrients),16,0.68,0.1,0.323,0.266,17.5,0,6.3,0,0,VEG,ROOT
246,6207,11429,RADISH,16,0.68,0.1,0.34,0.28,25,0,7,0,0,VEG,ROOT
247,6208,11124,CARROT (cooked nutrients),41,0.93,0.24,0.3,0.24,15.2,0,15035.4,751.5,8,VEG,ROOT
248,6210,11354,TREE POTATO (GROWS ON A CREEPER?)  (cooked nutrients),69,1.68,0.1,0.494,0.2755,16.2,0,8,0,69,VEG,ROOT
249,6212,11522,ARAM  (cooked nutrients),11,0.92,0.09,0.57,0.4845,2.1,0,45,2.7,42,VEG,ROOT
250,6213,11216,"GINGER, PEELED (cooked nutrients)",80,1.82,0.75,0.6,0.34,8.8,0,0,0,0,VEG,ROOT
251,6214,11367,BOILED POTATO WITHOUT PEEL,86,1.71,0.1,0.31,0.27,9,0,3,0,81,VEG,ROOT
252,6216,11522,ARAM ROOT VARIETY (cooked nutrients),11,0.92,0.09,0.57,0.4845,2.1,0,45,2.7,42,VEG,ROOT
253,6217,11522,"ARAM, SMALL TUBER OF  (cooked nutrients)",11,0.92,0.09,0.57,0.4845,2.1,0,45,2.7,42,VEG,ROOT
254,6218,11354,POTATO VARIETY,69,1.68,0.1,0.52,0.29,18,0,8,0,69,VEG,ROOT
255,6219,11828,BAKED POTATO WITH PEEL,93,2.5,0.13,1.08,0.36,28,0,10,1,81,VEG,ROOT
256,6220,11829,BAKED POTATO WITHOUT PEEL,93,1.96,0.1,0.35,0.29,9,0,0,0,81,VEG,ROOT
257,6221,11602,BOILED SWEET POTATO,116,1.49,0.14,0.52,0.2,16,0,122,6,50,VEG,ROOT
258,6223,11602,BAKED SWEET POTATO WITHOUT PEEL,116,1.49,0.14,0.52,0.2,16,0,122,6,50,VEG,ROOT
259,6300,11457,"SPINACH, RAW (cooked nutrients)",23,2.86,0.39,2.5745,0.5035,116.4,0,8908.15,445.55,0,VEG,LEAF
260,6301,11231,"LEAF, JUTE, BITTER, FRESH  (cooked nutrients)",34,4.65,0.25,4.522,0.7505,73.8,0,5281.05,264.1,42,VEG,LEAF
261,6302,11418,"LEAF, SWEET PUMPKIN, RAW  (cooked nutrients)",19,3.15,0.4,2.109,0.19,21.6,0,1844.9,92.15,42,VEG,LEAF
262,6305,11233,"BINDWEED, RAW (cooked nutrients)",50,3.3,0.7,1.615,0.418,17.4,0,14607.2,730.55,42,VEG,LEAF
263,6306,2044,"BASIL (GREEN LEAFY), RAW (cooked nutrients)",23,3.15,0.64,3.0115,0.7695,40.8,0,5011.25,250.8,42,VEG,LEAF
264,6307,11003,"AMARANTH, RAW  (cooked nutrients)  (use 6362 cooked)",23,2.46,0.33,2.204,0.855,51,0,2771.15,138.7,42,VEG,LEAF
265,6308,11003,"AMARANTH, RED, RAW  (cooked nutrients)",23,2.46,0.33,2.204,0.855,51,0,2771.15,138.7,42,VEG,LEAF
266,6309,11233,"RADISH LEAF, RAW  (cooked nutrients)",50,3.3,0.7,1.615,0.418,17.4,0,14607.2,730.55,42,VEG,LEAF
267,6310,11165,"CORIANDER LEAF, RAW (cooked nutrients)",23,2.13,0.52,1.6815,0.475,37.2,0,6410.6,320.15,42,VEG,LEAF
268,6311,11418,"GOURD LEAF, RAW  (cooked nutrients)  (use 6361 ckd)",19,3.15,0.4,2.109,0.19,21.6,0,1844.9,92.15,42,VEG,LEAF
269,6312,165,"ONION LEAF, (DARK GREEN), RAW (cooked nutrients)",21,1.2,0.7,0.665,0.19,24,0,152,45.6,5,VEG,LEAF
270,6313,11520,"ARAM LEAF, (DARK GREEN), RAW (cooked nutrients)",42,4.98,0.74,2.1375,0.3895,75.6,0,4583.75,228.95,42,VEG,LEAF
271,6314,11233,"VEGETABLE, LEAFY, MIX (ALL DARK GREEN), RAW (cooked nutrients)",50,3.3,0.7,1.615,0.418,17.4,0,14607.2,730.55,42,VEG,LEAF
272,6316,11222,"HORSERADISH LEAF, RAW (cooked nutrients)",64,9.4,1.4,3.8,0.57,24,0,7185.8,359.1,34,VEG,LEAF
273,6317,11270,"MUSTARD GREENS, RAW  (cooked nutrients)",26,2.7,0.2,1.387,0.19,112.2,0,9975,498.75,42,VEG,LEAF
274,6320,11233,"VEGETABLE, DARK GREEN LEAFY, RAW (cooked nutrients)",50,3.3,0.7,1.615,0.418,17.4,0,14607.2,730.55,42,VEG,LEAF
275,6324,11501,POTATO LEAF  (cooked nutrients),35,4,0.3,0.9595,0.2755,48,0,976.6,48.45,42,VEG,LEAF
276,6325,11233,GARLIC LEAF  (cooked nutrients),50,3.3,0.7,1.615,0.418,17.4,0,14607.2,730.55,42,VEG,LEAF
277,6326,11233,"VEGETABLE, DARK GREEN LEAFY, RAW (cooked nutrients)",50,3.3,0.7,1.615,0.418,17.4,0,14607.2,730.55,42,VEG,LEAF
278,6327,11418,WAX GOURD LEAF  (cooked nutrients),19,3.15,0.4,2.109,0.19,21.6,0,1844.9,92.15,42,VEG,LEAF
279,6328,11233,"VEGETABLE, DARK GREEN LEAFY, BITTER, RAW (cooked nutrients)",50,3.3,0.7,1.615,0.418,17.4,0,14607.2,730.55,42,VEG,LEAF
280,6335,11233,"FERN LEAF,RAW  (cooked nutrients)",50,3.3,0.7,1.615,0.418,17.4,0,14607.2,730.55,42,VEG,LEAF
281,6340,2064,"LEMON LEAF,MINT (cooked nutrients)",70,3.75,0.94,4.826,1.0545,68.4,0,4035.6,201.4,42,VEG,LEAF
282,6341,11233,RADHUNI LEAF  (cooked nutrients),50,3.3,0.7,1.615,0.418,17.4,0,14607.2,730.55,42,VEG,LEAF
283,6342,11233,OLIVE LEAF,50,3.3,0.7,1.7,0.44,29,0,15376,769,42,VEG,LEAF
284,6347,11233,"VEGETABLE, DARK GREEN LEAFY, RAW  (cooked nutrients)",50,3.3,0.7,1.615,0.418,17.4,0,14607.2,730.55,42,VEG,LEAF
285,6353,2064,MINT LEAF,70,3.75,0.94,5.08,1.11,114,0,4248,212,42,VEG,LEAF
286,6361,11419,GOURD LEAF BOILED,21,2.72,0.22,3.2,0.2,25,0,1600,80,42,VEG,LEAF
287,6363,11521,"ARAM LEAF, (DARK GREEN), COOKED",24,2.72,0.41,1.18,0.21,48,0,4238,212,42,VEG,LEAF
288,7000,19335,"SUGAR, WHITE  (cooked)",387,0,0,0.01,0,0,0,0,0,0,CONDIMENT,SUGAR
289,7001,19334,"MOLASSES, DARK, SOLID  (cooked)",380,0.12,0,0.7,0.03,1,0,0,0,0,CONDIMENT,SUGAR
290,7002,VU,"MOLASSES,DATE PALM,LIQUID",52,0.3,0,0.3,0,0,0,0,0,0,CONDIMENT,SUGAR
291,7003,2047,"SALT, IODIZED  (cooked)",0,0,0,0.33,0.1,0,0,0,0,0,CONDIMENT,
292,7004,2047,"SALT, NOT IODIZED",0,0,0,0.33,0.1,0,0,0,0,0,CONDIMENT,
293,7005,2031,CHILI POWDER  (cooked),318,12.01,17.27,7.8,2.48,106,0,41610,2081,403,CONDIMENT,
294,7006,2043,TUMERIC  (cooked),354,7.83,9.88,41.42,4.35,39,0,0,0,0,CONDIMENT,
295,7007,2013,CORIANDER  (cooked),298,12.37,17.77,16.32,4.7,0,0,0,0,0,CONDIMENT,
296,7008,2014,CUMIN  (cooked),375,17.81,22.27,66.36,4.8,10,0,1270,64,0,CONDIMENT,
297,7009,11234,TAMARIND PICKLE,28,1.9,0.4,0.9,0.24,13,0,13621,681,42,CONDIMENT,
298,7010,2010,CINNAMON,247,3.99,1.24,8.32,1.83,6,0,295,15,0,CONDIMENT,
299,7011,9195,OLIVE PICKLE,145,1.03,15.32,0.49,0.04,3,0,393,20,0,CONDIMENT,
300,7013,63143650,PLUM PICKLE,122,0.48,0.19,0.15,0.08,3,0,0,12,0,CONDIMENT,
301,7014,63129020,MANGO PICKLE,135,0.35,0.18,0.13,0.03,9,0,0,25,6,CONDIMENT,
302,7015,2011,CLOVE  (cooked),323,5.98,20.07,8.68,1.09,93,0,530,27,0,CONDIMENT,
303,7016,2030,BLACK PEPPER  (cooked),255,10.95,3.26,28.86,1.42,10,0,299,15,0,CONDIMENT,
304,7017,2013,CORIANDER VARIETY (SOUR)  (cooked),298,12.37,17.77,16.32,4.7,0,0,0,0,0,CONDIMENT,
305,7018,2013,CORIANDER VARIETY (SWEET)  (cooked nut),298,12.37,17.77,16.32,4.7,0,0,0,0,0,CONDIMENT,
306,7019,1546,CASSIA LEAF  (cooked),221,17.9,3.5,78.3,3.8,486,0,3110,934,225,CONDIMENT,
307,7020,2006,CARDAMOM  (cooked),311,10.76,6.7,13.97,7.47,0,0,0,0,0,CONDIMENT,
308,7021,2015,FIVE-SPICE BLEND,325,12.66,13.81,29.59,4.05,154,0,986,49,0,CONDIMENT,
309,7022,2019,FENUGREEK  (cooked),323,23,6.41,33.53,2.5,57,0,60,3,0,CONDIMENT,
310,7023,2014,BLACK CUMIN  (cooked),375,17.81,22.27,66.36,4.8,10,0,1270,64,0,CONDIMENT,
311,7024,2014,"SPICE, SIMILAR TO CUMIN, SWEET  (cooked)",375,17.81,22.27,66.36,4.8,10,0,1270,64,0,CONDIMENT,
312,7025,19334,BROWN SUGAR (cooked),380,0.12,0,0.7,0.03,1,0,0,0,0,CONDIMENT,SUGAR
313,7026,19334,"MOLASSES, SUGARCANE, SOLID",380,0.12,0,0.7,0.03,1,0,0,0,0,CONDIMENT,SUGAR
314,7027,19335,ROCK SUGAR (SOLID LUMP SUGAR),387,0,0,0.01,0,0,0,0,0,0,CONDIMENT,SUGAR
315,7028,19304,"MOLASSES, SUGARCANE, LIQUID",290,0,0.1,4.72,0.29,0,0,0,0,0,CONDIMENT,SUGAR
316,7029,2012,"LEAF, BROWN  (cooked)",279,21.93,4.78,42.46,4.72,274,0,5850,293,0,CONDIMENT,
317,7030,2006,"CARDAMOM VARIETY (BIG, BLACK)  (cooked)",311,10.76,6.7,13.97,7.47,0,0,0,0,0,CONDIMENT,
318,7031,2015,CURRY MIXED MOSALA  (cooked),325,12.66,13.81,29.59,4.05,154,0,986,49,0,CONDIMENT,
319,7032,2015,SPICES (RANGPUR ONLY)  (cooked),325,12.66,13.81,29.59,4.05,154,0,986,49,0,CONDIMENT,
320,7034,63143650,PLUM (BOROI) AND TAMARIND PICKLE,122,0.48,0.19,0.15,0.08,3,0,0,12,0,CONDIMENT,
321,8000,4044,"OIL, SOYBEAN  (cooked)",884,0,100,0.05,0.01,0,0,0,0,0,FAT,OIL
322,8001,4583,"OIL, MUSTARD  (cooked)",884,0,100,0,0,0,0,0,0,0,FAT,OIL
323,8003,1003,BUTTER (OIL FROM WHOLE COWS MILK),876,0.28,99.48,0,0.01,0,0,3069,840,0,FAT,OIL
324,9000,14355,"TEA, PREPARED WITH WATER ONLY (RAW TEA)",1,0,0,0.02,0.02,5,0,0,0,0,MISC,TEA
325,9006,910,"TEA, LEAF, DRY  (cooked)",55,0,0,0,0,0,0,0,0,0,MISC,TEA
326,9101,92542000,"TANG, prepared",50,0,0,0,0.01,0,0,0,0,0,MISC,JUICE
327,9102,9209,Orange juice 100%,44,0.8,0.13,0.17,0.04,18,0,78,4,0,MISC,JUICE
328,9103,9436,Mango juice 100%,51,0.11,0.06,0.36,0.02,7,0,692,35,8,MISC,JUICE
329,9107,0,ORAL SALINE,8,0,0,0,0,0,0,0,0,0,MISC,JUICE
330,9200,19410,"CHIPS, POTATO, LOOSE",558,5.9,38.4,1.5,0.59,7,0,0,0,250,MISC,SNACKS
331,9202,19107,HARD CANDY,394,0,0.2,0.3,0.01,0,0,0,0,0,MISC,SNACKS
332,9203,19120,CHOCOLATE,535,7.62,29.66,2.35,2.3,12,0.75,195,59,126,MISC,SNACKS
333,9204,19283,"POPSICLE (FROZEN WATER,SUGAR,FLAVOR)",79,0,0.24,0.54,0.15,0,0,0,0,0,MISC,SNACKS
334,9205,19095,ICE-CREAM,201,3.5,11,0.09,0.69,5,0.39,421,118,0,MISC,SNACKS
335,9209,19411,"CHIPS, POTATO, PACKET",547,6.56,37.47,1.61,2.39,75,0,0,0,250,MISC,SNACKS
336,9211,18208,DEEP FRIED SUGAR COATED BISCUIT,472,5.9,23.4,2.33,0.42,11,0.09,1028,238,53,MISC,SNACKS
337,9214,0,HERB MIXTURE (HELPS IN DIGESTION),0,0,0,0,0,0,0,0,0,0,MISC,SNACKS
338,9215,20020,BAKED MAIZE (SAME AS 3109),362,8.12,3.59,3.45,1.82,17.5,0,214,11,800,MISC,SNACKS
339,9304,19106,"JELLY CANDY, LYCHEE FLAVORED",396,0,0,0.4,0,0,0,0,0,0,MISC,SWEET
340,9305,0,CHEWING GUM,247,0,0.3,0,0,0,0,0,0,0,MISC,SWEET
341,9306,19107,BOILED MOLASSES CANDY,394,0,0.2,0.3,0.01,0,0,0,0,0,MISC,SWEET
342,9312,19154,SUGAR COATED SESAME SEEDS,516,11.6,33.3,4.27,3.76,51,0,6,0,814,MISC,SWEET
343,9400,14412,WATER  (cooked nut),0,0,0,0,0.01,0,0,0,0,0,MISC,BEV
344,9500,18372,BAKING SODA,0,0,0,0,0,0,0,0,0,0,MISC,MISC
345,9999,0,NONE,0,0,0,0,0,0,0,0,0,0,MISC,MISC